date,global_active_power,global_reactive_power,sub_metering_1,sub_metering_2,sub_metering_3,voltage,global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,sub_metering_remainder
2006-12-16,1209.176,34.922,0.0,546.0,4926.0,236.24376262626262,13.082828282828283,63.75,9.333,5.667,2.167,0.167,14680.933333333334
2006-12-17,3390.46,226.006,2033.0,4187.0,13341.0,240.0870277777778,9.999027777777778,63.75,9.333,5.667,2.167,0.167,36946.666666666664
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,241.23169444444446,6.421666666666667,63.75,9.333,5.667,2.167,0.167,19028.433333333334
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,241.9993125,4.926388888888889,63.75,9.333,5.667,2.167,0.167,13131.900000000001
2006-12-20,2225.748,160.998,0.0,2648.0,14063.0,242.30806249999998,6.467361111111111,63.75,9.333,5.667,2.167,0.167,20384.800000000003
2006-12-21,1717.112,144.166,1765.0,2623.0,10421.0,241.04228472222223,5.028194444444445,63.75,9.333,5.667,2.167,0.167,13809.533333333333
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,241.1845486111111,6.872916666666667,63.75,9.333,5.667,2.167,0.167,24390.300000000003
2006-12-23,4773.386,221.47,2669.0,425.0,14726.0,240.1360763888889,14.028055555555557,63.75,9.333,5.667,2.167,0.167,61736.433333333334
2006-12-24,2550.012,149.9,1703.0,5082.0,6891.0,241.6874375,7.640416666666667,63.75,9.333,5.667,2.167,0.167,28824.199999999997
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,243.39993055555558,7.951527777777779,63.75,9.333,5.667,2.167,0.167,31341.666666666664
2006-12-26,3934.11,165.102,1086.0,2533.0,14979.0,241.6254375,11.347916666666666,63.75,9.333,5.667,2.167,0.167,46970.5
2006-12-27,1528.76,178.902,0.0,314.0,6976.0,243.76736111111111,4.5175,63.75,9.333,5.667,2.167,0.167,18189.333333333332
2006-12-28,2072.638,208.876,2207.0,4419.0,9176.0,243.26833333333335,6.086250000000001,63.75,9.333,5.667,2.167,0.167,18741.966666666667
2006-12-29,3174.392,196.394,1252.0,5162.0,11329.0,240.87130555555555,9.271388888888888,63.75,9.333,5.667,2.167,0.167,35163.53333333333
2006-12-30,2801.738,312.75600000000003,3148.0,7929.0,12516.0,240.53632638888888,8.317083333333333,63.75,9.333,5.667,2.167,0.167,23102.63333333333
