DateTime,True_Global_active_power,Predicted_Global_active_power
2009-11-27,1380.026,1565.5249
2009-11-28,1858.95,1646.8718
2009-11-29,1650.962,1739.8296
2009-11-30,1745.19,1825.1726
2009-12-01,1756.378,1983.3401
2009-12-02,2345.668,2019.847
2009-12-03,1479.688,2106.6653
2009-12-04,1711.294,2013.1044
2009-12-05,2351.762,2064.8718
2009-12-06,2378.288,2281.9329
2009-12-07,1742.638,2364.5208
2009-12-08,2006.884,2110.157
2009-12-09,1802.356,2157.8367
2009-12-10,2058.042,2169.1404
2009-12-11,1784.462,2162.0137
2009-12-12,1816.38,1962.4401
2009-12-13,2138.814,2008.3058
2009-12-14,1794.862,2117.7766
2009-12-15,1940.116,2055.8281
2009-12-16,1394.874,2220.944
2009-12-17,1717.182,2149.5754
2009-12-18,1744.706,1953.4644
2009-12-19,2204.334,2083.4912
2009-12-20,1144.166,2168.6252
2009-12-21,2034.966,2280.2087
2009-12-22,1888.022,2197.9766
2009-12-23,1455.2,2261.4307
2009-12-24,2905.894,2256.2893
2009-12-25,2127.648,2095.427
2009-12-26,2183.618,2150.3005
2009-12-27,2195.452,1989.5975
2009-12-28,2094.098,2182.442
2009-12-29,2047.968,2035.9329
2009-12-30,2451.11,2169.1108
2009-12-31,2211.892,2422.7664
2010-01-01,1224.252,2373.9678
2010-01-02,1311.806,2064.9526
2010-01-03,2083.454,2080.5242
2010-01-04,1604.132,2178.4814
2010-01-05,2219.78,2408.037
2010-01-06,1777.18,2347.4622
2010-01-07,1769.442,2553.0667
2010-01-08,1797.208,2544.249
2010-01-09,2336.9,2615.3416
2010-01-10,2508.466,2540.4644
2010-01-11,1518.684,2454.1338
2010-01-12,2190.558,2611.3286
2010-01-13,2390.4,2770.0205
2010-01-14,2514.208,2651.9495
2010-01-15,2196.76,2557.1897
2010-01-16,2150.112,2499.1536
2010-01-17,1906.556,2584.9194
2010-01-18,1881.098,2478.6213
2010-01-19,2433.508,2458.2812
2010-01-20,2351.728,2336.4478
2010-01-21,2137.856,2293.8523
2010-01-22,1790.626,2295.282
2010-01-23,2611.502,2286.591
2010-01-24,2269.42,2219.572
2010-01-25,1930.51,2239.1165
2010-01-26,2067.564,2108.383
2010-01-27,2760.902,2034.9226
2010-01-28,2110.234,2152.7773
2010-01-29,2092.99,2007.7902
2010-01-30,2842.728,2026.5883
2010-01-31,1799.196,1837.6084
2010-02-01,1693.778,1798.2823
2010-02-02,2157.432,1940.8279
2010-02-03,2903.014,1964.188
2010-02-04,2316.27,1907.2167
2010-02-05,2098.892,1911.4186
2010-02-06,2712.986,1919.5656
2010-02-07,1625.708,2185.1948
2010-02-08,2582.238,2248.9631
2010-02-09,2420.932,2133.982
2010-02-10,1948.196,1979.0907
2010-02-11,1369.768,1971.0082
2010-02-12,1892.998,1893.7577
2010-02-13,2351.556,1983.8811
2010-02-14,1688.35,2173.6296
2010-02-15,2097.132,2229.6475
2010-02-16,1797.756,2040.1996
2010-02-17,2054.56,2282.3052
2010-02-18,1761.156,2032.0734
2010-02-19,1953.572,2140.8794
2010-02-20,1983.728,2000.3728
2010-02-21,2740.314,2418.4863
2010-02-22,1474.036,2266.402
2010-02-23,1461.28,2049.7524
2010-02-24,1914.278,2179.7688
2010-02-25,1880.204,2397.19
2010-02-26,2120.156,2286.7302
2010-02-27,1765.056,2322.3672
2010-02-28,711.666,2153.9463
2010-03-01,1298.728,1938.0309
2010-03-02,766.9060000000001,2180.4524
2010-03-03,935.834,2046.229
2010-03-04,682.88,2081.4722
2010-03-05,1133.726,1990.2074
2010-03-06,794.712,1919.2708
2010-03-07,1372.472,1615.4125
2010-03-08,2557.098,1829.2092
2010-03-09,1760.112,1642.1342
2010-03-10,1822.632,1517.8287
2010-03-11,1951.09,1624.5969
2010-03-12,1645.424,1668.2911
2010-03-13,2383.01,1645.4177
2010-03-14,1566.714,1528.4481
2010-03-15,1791.85,1378.9882
2010-03-16,1542.65,1469.0602
2010-03-17,2009.13,1463.9095
2010-03-18,1562.682,1297.7866
2010-03-19,1663.384,1319.9688
2010-03-20,641.508,1382.7428
2010-03-21,1262.9,1490.6561
2010-03-22,1618.59,1393.3418
2010-03-23,1822.162,1515.9299
2010-03-24,1994.752,1305.2157
2010-03-25,1679.884,1397.6666
2010-03-26,1651.284,1468.6781
2010-03-27,1847.97,1521.9749
2010-03-28,1798.214,1635.4335
2010-03-29,1622.738,1751.1995
2010-03-30,1906.454,1841.2635
2010-03-31,1923.802,1820.2358
2010-04-01,1687.44,1823.4664
2010-04-02,1648.622,2002.3208
2010-04-03,1805.278,1876.6182
2010-04-04,1690.388,1840.043
2010-04-05,1118.82,2013.5903
2010-04-06,1825.852,1816.3594
2010-04-07,1596.982,1929.562
2010-04-08,1649.22,1969.9196
2010-04-09,1233.35,1743.6145
2010-04-10,1190.208,1833.4177
2010-04-11,1603.152,1652.1791
2010-04-12,1439.426,1980.1213
2010-04-13,1512.704,1656.5981
2010-04-14,1660.364,1759.8263
2010-04-15,1872.178,1550.0243
2010-04-16,1562.062,1774.2788
2010-04-17,1557.712,1704.8008
2010-04-18,1476.106,1947.852
2010-04-19,1708.594,1789.5503
2010-04-20,1833.628,1730.9142
2010-04-21,1579.914,1753.0602
2010-04-22,1460.904,1923.7994
2010-04-23,1180.536,1976.975
2010-04-24,1518.418,1933.4392
2010-04-25,1542.742,1923.6393
2010-04-26,1082.716,1914.6023
2010-04-27,1250.94,1693.8269
2010-04-28,867.858,1971.9922
2010-04-29,1103.724,1685.1119
2010-04-30,1118.628,1708.7637
2010-05-01,1320.158,1699.8932
2010-05-02,2187.91,1847.6414
2010-05-03,1411.302,1911.6945
2010-05-04,1516.96,1824.1473
2010-05-05,1805.308,1894.7327
2010-05-06,1299.25,1720.7676
2010-05-07,1644.004,1796.964
2010-05-08,1533.422,1811.8737
2010-05-09,1566.51,1411.9988
2010-05-10,1467.892,1632.0913
2010-05-11,1571.368,1610.5692
2010-05-12,2035.418,1439.7085
2010-05-13,1554.266,1175.129
2010-05-14,1722.146,1522.0637
2010-05-15,1944.772,1469.6244
2010-05-16,2100.426,1299.447
2010-05-17,1628.182,1350.9612
2010-05-18,1421.184,1344.5033
2010-05-19,1426.752,1398.2502
2010-05-20,1153.898,1254.9089
2010-05-21,1294.396,1263.7637
2010-05-22,2095.772,1203.4188
2010-05-23,1487.556,1189.5609
2010-05-24,1341.332,1382.7614
2010-05-25,1198.626,1316.6116
2010-05-26,1387.884,1353.7069
2010-05-27,1323.342,1423.1329
2010-05-28,1398.164,1240.2305
2010-05-29,2049.808,1270.4086
2010-05-30,1665.7,1634.9326
2010-05-31,1340.462,1655.192
2010-06-01,1268.964,1567.4243
2010-06-02,980.898,1475.3389
2010-06-03,1394.186,1432.5518
2010-06-04,1420.554,1363.5533
2010-06-05,2009.644,1423.6256
2010-06-06,1746.792,1466.1552
2010-06-07,1012.082,1563.5021
2010-06-08,1362.034,1519.6691
2010-06-09,1534.682,1334.5026
2010-06-10,1215.19,1424.8953
2010-06-11,1470.672,1504.2219
2010-06-12,1974.442,1418.5804
2010-06-13,1674.356,1459.4852
2010-06-14,1217.984,1409.9753
2010-06-15,1223.966,1119.9073
2010-06-16,1768.092,1479.415
2010-06-17,1028.018,1403.1714
2010-06-18,1332.316,1477.0765
2010-06-19,1416.22,1541.4484
2010-06-20,1672.55,1425.9747
2010-06-21,1660.89,1539.3242
2010-06-22,1520.588,1499.137
2010-06-23,1442.064,1547.7021
2010-06-24,1095.78,1567.5308
2010-06-25,1099.438,1434.7786
2010-06-26,981.62,1627.1271
2010-06-27,1139.964,1717.2043
2010-06-28,1471.34,1346.5261
2010-06-29,1368.008,1384.5059
2010-06-30,1384.136,1466.2229
2010-07-01,1349.002,1422.2129
2010-07-02,1140.928,1612.9525
2010-07-03,1120.074,1536.2393
2010-07-04,1538.088,1600.8129
2010-07-05,1113.99,1336.2228
2010-07-06,1005.934,1668.4827
2010-07-07,834.788,1495.2253
2010-07-08,1212.652,1728.4645
2010-07-09,1083.478,1573.7975
2010-07-10,1154.504,1500.0812
2010-07-11,1193.572,1633.1328
2010-07-12,1109.574,1565.1243
2010-07-13,1382.114,1596.1582
2010-07-14,1409.472,1358.7372
2010-07-15,1635.816,1567.22
2010-07-16,820.056,1355.9766
2010-07-17,806.352,1413.5024
2010-07-18,812.038,1398.8699
2010-07-19,801.158,1259.2961
2010-07-20,855.824,1153.6482
2010-07-21,1064.166,1263.0422
2010-07-22,1164.446,998.5406
2010-07-23,1176.158,1110.7803
2010-07-24,921.668,1186.2096
2010-07-25,1130.41,1161.8514
2010-07-26,884.15,1101.1089
2010-07-27,952.36,1084.4054
2010-07-28,862.654,1047.1155
2010-07-29,549.104,1122.2162
2010-07-30,551.26,1234.963
2010-07-31,554.616,1187.6625
2010-08-01,555.664,1129.2484
2010-08-02,549.482,1200.9124
2010-08-03,615.212,1103.3108
2010-08-04,543.356,1096.194
2010-08-05,533.476,1106.2424
2010-08-06,524.746,1146.8872
2010-08-07,527.476,1156.3337
2010-08-08,528.46,1380.7622
2010-08-09,535.064,1042.2815
2010-08-10,544.758,1113.8243
2010-08-11,542.002,1305.3478
2010-08-12,529.698,1175.8182
2010-08-13,534.294,1384.2461
2010-08-14,554.27,1348.0071
2010-08-15,1055.986,1047.8665
2010-08-16,1129.73,1304.929
2010-08-17,1139.47,1045.2391
2010-08-18,1304.64,1071.3304
2010-08-19,1304.64,1130.9271
2010-08-20,1304.64,945.16644
2010-08-21,1304.64,1038.8448
2010-08-22,1260.266,864.76697
2010-08-23,765.658,855.0222
2010-08-24,722.948,886.96094
2010-08-25,980.408,816.6215
2010-08-26,757.252,654.6584
2010-08-27,2030.65,668.5211
2010-08-28,1442.856,674.3172
2010-08-29,1668.48,567.0008
2010-08-30,1494.802,431.21188
2010-08-31,1365.106,489.02026
2010-09-01,1593.318,439.64243
2010-09-02,1392.492,293.26807
2010-09-03,1346.414,267.61157
2010-09-04,1743.84,148.70676
2010-09-05,1323.018,176.05504
2010-09-06,1422.876,301.40082
2010-09-07,1451.854,187.46448
2010-09-08,1303.812,184.96169
2010-09-09,1238.714,103.89726
2010-09-10,1328.108,108.87483
2010-09-11,1463.31,136.31718
2010-09-12,1612.092,304.34705
2010-09-13,1076.32,168.23848
2010-09-14,1430.678,269.1283
2010-09-15,986.094,289.21042
2010-09-16,1339.738,494.47617
2010-09-17,1497.608,543.00684
2010-09-18,1247.946,589.1346
2010-09-19,919.6,698.59296
2010-09-20,1682.832,677.871
2010-09-21,1111.376,783.2516
2010-09-22,1510.394,686.1824
2010-09-23,1449.862,956.1804
2010-09-24,1327.992,1028.2208
2010-09-25,281.79,886.1785
2010-09-26,210.24,1147.5155
2010-09-27,210.24,1211.0642
2010-09-28,638.764,1252.5288
2010-09-29,1684.426,1438.4877
2010-09-30,1248.278,1172.4772
2010-10-01,1504.82,1392.7363
2010-10-02,1923.254,1400.8276
2010-10-03,1830.684,1376.1359
2010-10-04,1775.96,1513.5505
2010-10-05,1854.624,1578.7817
2010-10-06,1315.456,1628.305
2010-10-07,1809.954,1471.5614
2010-10-08,1510.456,1544.1959
2010-10-09,1611.78,1381.0636
2010-10-10,1998.904,1544.9757
2010-10-11,1622.59,1543.7034
2010-10-12,1579.692,1334.2603
2010-10-13,2073.886,1644.9954
2010-10-14,2135.122,1661.0342
2010-10-15,1596.324,1648.2507
2010-10-16,1000.014,1578.6254
2010-10-17,1047.382,1767.1736
2010-10-18,2713.884,1563.6736
2010-10-19,1925.978,1539.7916
2010-10-20,1727.964,1632.1694
2010-10-21,1355.198,1946.284
2010-10-22,1668.892,1746.7615
2010-10-23,2293.236,1673.4033
2010-10-24,2392.992,1758.1725
2010-10-25,1163.292,1950.7164
2010-10-26,945.904,1724.9003
2010-10-27,1260.278,1898.1198
2010-10-28,1463.326,1763.372
2010-10-29,1204.422,1897.826
2010-10-30,2152.7,1883.3634
2010-10-31,1476.43,1837.3975
2010-11-01,1383.18,1896.6454
2010-11-02,1191.082,1698.7242
2010-11-03,1293.298,1818.3226
2010-11-04,2555.146,2009.6578
2010-11-05,1736.088,1926.5067
2010-11-06,1805.408,1924.5918
2010-11-07,1673.816,1795.7783
2010-11-08,1825.54,1735.2563
2010-11-09,2022.098,1697.914
2010-11-10,1946.534,1828.6052
2010-11-11,1773.592,1659.7966
2010-11-12,1836.822,1608.8661
2010-11-13,2023.174,1517.7915
2010-11-14,2038.392,1404.1207
2010-11-15,1747.382,1259.4103
2010-11-16,1509.748,1345.536
2010-11-17,1582.032,1108.6636
2010-11-18,1652.152,1340.3118
