DateTime,True_Global_active_power,Predicted_Global_active_power
2010-08-29,1668.48,1969.5153
2010-08-30,1494.802,1983.0752
2010-08-31,1365.106,1882.6542
2010-09-01,1593.318,2200.5657
2010-09-02,1392.492,2084.8574
2010-09-03,1346.414,2071.4429
2010-09-04,1743.84,2131.268
2010-09-05,1323.018,2086.8855
2010-09-06,1422.876,2190.034
2010-09-07,1451.854,2083.71
2010-09-08,1303.812,2027.9152
2010-09-09,1238.714,2032.2212
2010-09-10,1328.108,2154.5808
2010-09-11,1463.31,1964.6871
2010-09-12,1612.092,1920.5323
2010-09-13,1076.32,1920.2258
2010-09-14,1430.678,1996.1852
2010-09-15,986.094,2080.047
2010-09-16,1339.738,1940.2272
2010-09-17,1497.608,1970.8898
2010-09-18,1247.946,2115.578
2010-09-19,919.6,2132.7097
2010-09-20,1682.832,2150.8655
2010-09-21,1111.376,1981.0898
2010-09-22,1510.394,1969.7598
2010-09-23,1449.862,2123.8472
2010-09-24,1327.992,2009.7402
2010-09-25,281.79,2185.535
2010-09-26,210.24,2222.8538
2010-09-27,210.24,2278.5312
2010-09-28,638.764,2284.007
2010-09-29,1684.426,2152.6184
2010-09-30,1248.278,2059.2817
2010-10-01,1504.82,2224.7605
2010-10-02,1923.254,2394.4146
2010-10-03,1830.684,2324.3918
2010-10-04,1775.96,2333.4175
2010-10-05,1854.624,2360.8694
2010-10-06,1315.456,2525.4678
2010-10-07,1809.954,2377.4844
2010-10-08,1510.456,2575.7954
2010-10-09,1611.78,2520.7007
2010-10-10,1998.904,2485.0696
2010-10-11,1622.59,2522.5557
2010-10-12,1579.692,2602.447
2010-10-13,2073.886,2569.403
2010-10-14,2135.122,2488.6912
2010-10-15,1596.324,2382.1467
2010-10-16,1000.014,2337.0378
2010-10-17,1047.382,2458.5305
2010-10-18,2713.884,2274.273
2010-10-19,1925.978,2088.9373
2010-10-20,1727.964,2163.6238
2010-10-21,1355.198,2245.532
2010-10-22,1668.892,2030.384
2010-10-23,2293.236,2076.678
2010-10-24,2392.992,1974.5452
2010-10-25,1163.292,1888.4008
2010-10-26,945.904,1948.7831
2010-10-27,1260.278,2083.5217
2010-10-28,1463.326,2124.975
2010-10-29,1204.422,2076.678
2010-10-30,2152.7,2151.7415
2010-10-31,1476.43,2067.971
2010-11-01,1383.18,2113.9116
2010-11-02,1191.082,2045.8052
2010-11-03,1293.298,2202.0845
2010-11-04,2555.146,2235.8206
2010-11-05,1736.088,2200.7622
2010-11-06,1805.408,2146.2627
2010-11-07,1673.816,2245.272
2010-11-08,1825.54,2210.1304
2010-11-09,2022.098,2204.8342
2010-11-10,1946.534,2313.3044
2010-11-11,1773.592,2220.2676
2010-11-12,1836.822,2205.7083
2010-11-13,2023.174,2334.8347
2010-11-14,2038.392,2351.372
2010-11-15,1747.382,2211.221
2010-11-16,1509.748,2329.7156
2010-11-17,1582.032,2390.1099
2010-11-18,1652.152,2397.7822
2010-11-19,1570.4,2070.7964
2010-11-20,2197.006,2225.2676
2010-11-21,900.91,2228.0032
2010-11-22,2041.536,2231.6335
2010-11-23,1577.536,2232.7244
2010-11-24,1796.248,1986.5557
2010-11-25,1431.164,2072.125
2010-11-26,1488.104,2200.2495
